,SearchType,Screen,Node,Repeat,Fringe,Deadlock,Time,Answer
0,SearchType.Breadth_Search,0,663,310,135,3,0.20844316482543945,"['u', 'l', 'l', 'l', 'l', 'd', 'r', 'r', 'r']"
1,SearchType.Depth_Search,0,1748,1172,15,6,0.6263415813446045,"['l', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'r', 'r']"
2,SearchType.Iterative_Depth_Search,0,144,80,19,3,0.17657828330993652,"['l', 'l', 'u', 'l', 'l', 'd', 'r', 'r', 'r']"
3,SearchType.A_Star_Search,0,38,7,21,0,0.01196908950805664,"['l', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'r']"
4,SearchType.Breadth_Search,1,56144,33094,2434,383,22.263964891433716,"['l', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r']"
5,SearchType.Depth_Search,1,10292,6283,309,99,5.7318854331970215,"['l', 'l', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'l', 'd', 'l', 'd', 'r', 'r', 'r', 'r', 'u', 'u', 'l', 'l', 'd', 'l', 'l', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'u', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'd', 'd', 'l', 'l', 'u', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'u', 'r', 'r', 'd', 'd', 'd', 'l', 'd', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'u', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'd', 'r', 'r', 'r', 'u', 'l', 'l', 'u', 'l', 'l', 'u', 'd', 'r', 'd', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'd', 'l', 'u', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'r', 'r', 'r', 'u', 'l', 'l', 'u', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'l', 'l', 'd', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'u', 'd', 'l', 'd', 'l', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'u', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'r', 'r', 'r', 'u', 'l', 'l', 'u', 'u', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'u', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'd', 'r', 'd', 'd', 'l', 'u', 'u', 'u', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'u', 'u', 'l', 'u', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'l', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'r', 'd', 'd', 'd', 'l', 'l', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'l', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'd', 'l', 'l', 'l', 'u', 'r', 'l', 'd', 'r', 'd', 'd', 'd', 'd', 'r', 'r', 'r', 'r', 'u', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'l', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'l', 'l', 'u', 'r']"
6,SearchType.Iterative_Depth_Search,1,782,408,2601,13,21.144707679748535,"['l', 'u', 'u', 'u', 'l', 'u', 'r', 'd', 'd', 'd', 'd', 'l', 'd', 'l', 'u', 'u', 'u', 'u', 'l', 'u', 'r']"
7,SearchType.A_Star_Search,1,751,317,152,13,0.29279518127441406,"['l', 'u', 'u', 'u', 'd', 'd', 'd', 'd', 'l', 'u', 'l', 'u', 'r', 'r', 'd', 'r', 'r', 'u', 'u', 'u', 'u', 'l', 'l', 'd', 'd', 'd', 'd', 'r', 'r', 'u', 'l', 'd', 'l', 'u', 'u', 'd', 'r', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'd', 'l', 'd', 'd', 'r', 'r', 'u', 'u', 'l', 'u', 'r', 'l', 'd', 'l', 'l', 'u', 'r']"
8,SearchType.Breadth_Search,2,57899,35019,921,1198,20.514968395233154,"['u', 'l', 'l', 'd', 'l', 'd', 'r', 'u', 'u', 'r', 'r', 'd', 'l', 'l', 'r', 'r', 'd', 'd', 'l', 'u', 'r', 'u', 'l']"
9,SearchType.Depth_Search,2,28675,17841,146,723,13.022484302520752,"['d', 'l', 'l', 'l', 'l', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'u', 'r', 'r', 'd', 'l', 'l', 'd', 'l', 'l', 'u', 'r', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'r', 'd', 'd', 'l', 'u', 'l', 'l', 'r', 'r', 'd', 'r', 'u', 'u', 'l', 'd', 'd', 'r', 'u', 'u', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'r', 'l', 'l', 'l', 'u', 'r', 'u', 'r', 'd', 'l', 'l', 'd', 'r', 'r', 'l', 'l', 'u', 'r', 'r', 'u', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'u', 'l', 'l', 'r', 'r', 'd', 'r', 'u', 'u', 'u', 'l', 'l', 'd', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'l', 'l', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'r', 'd', 'd', 'd', 'l', 'u', 'd', 'r', 'u', 'u', 'l', 'l', 'l', 'd', 'r', 'l', 'u', 'r', 'r', 'r', 'd', 'l', 'd', 'r', 'u', 'u', 'l', 'l', 'u', 'l', 'l', 'l', 'd', 'r', 'r', 'd', 'r', 'l', 'u', 'l', 'l', 'u', 'r', 'r', 'r', 'r', 'd', 'l', 'r', 'r', 'u', 'l', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'l', 'u', 'r', 'u', 'r', 'r', 'd', 'l', 'r', 'r', 'r', 'd', 'd', 'l', 'u', 'l', 'l', 'r', 'r', 'd', 'r', 'u', 'u', 'l', 'l', 'd', 'r', 'd', 'r', 'u', 'u', 'l', 'u', 'l', 'l', 'l', 'l', 'd', 'd', 'r', 'r', 'r', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'd', 'r', 'r', 'd', 'd', 'l', 'u', 'l', 'l', 'l', 'l', 'u', 'u', 'r', 'r', 'r', 'r', 'r', 'd', 'l']"
